UNIQUE_NUMBER,SPECIES,DEER_SEX,ESTIMATED_BIRTH_DATE,HOW_ADDED,ADDED_DATE,SOURCE_FACILITY,HOW_REMOVED,REMOVED_DATE,DESTINATION_FID,DESTINATION_TYPE,REPORTED_DEATH_DATE,CAUSE_OF_DEATH,FACILITY_WHERE_DEAD,POSTMORT_TEST_RESULT,POSTMORT_SMPL_CLLCTN_DATE,POSTMORT_TISSUE_TYPE,ANTEMORT_TEST_RESULT,ANTEMORT_SMPL_CLLCTN_DATE,ANTEMORT_FCLTY_WHERE_TESTED,ANTEMORT_TISSUE_TYPE
A2VX,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,4992R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
A2VY,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Death,12/1/2018,,,12/1/2018,Natural Causes or Weather Related,10953B,Post-mortem Obex and RLN,2/28/2019,"Obex Location, RLN Not Detected",,,,
A2W0,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,3/8/2019,13469R,R,,,,,,,,,,
A2W1,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,3/28/2022,20487R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
A2W2,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
A2W3,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
A2W4,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,4/13/2019,4810R,R,,,,,,,,,,
A2W5,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
A2W6,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/9/2020,4992R,R,,,,,,,,,,
A2W7,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,4992R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
A2W8,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/20/2022,19704R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
A2W9,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,4/9/2020,17923B,B,,,,,,,,,,
A2WA,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,5/7/2021,20072R,R,,,,,,,,,,
A2WB,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,3/30/2020,12014B,B,,,,,,,,,,
A2WC,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,15660R,R,,,,,,,,,,
A2WF,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,2/19/2020,15660R,R,,,,,,,,,,
A2WG,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Death,11/25/2019,,,11/25/2019,Natural Causes or Weather Related,10953B,Post-mortem Obex and RLN,11/30/2019,"Obex Location, RLN Not Detected",,,,
A2WH,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,3/23/2021,15660R,R,,,,,,,,,,
A2WJ,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,4/13/2019,4810R,R,,,,,,,,,,
A2WK,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,3/31/2020,16880B,B,5/22/2021,Poison/Digestion/Rumen Problems,16880B,Post-mortem Obex and RLN,5/22/2021,Obex and RLN Not Detected,,,,
A2WL,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,20487R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
A2WM,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,4/28/2021,16524B,B,,,,,,,,,,
A2WN,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,3/14/2020,15020R,R,,,,,,,,,,
A2WR,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Death,12/29/2020,,,12/29/2020,Pneumonia,10953B,Post-mortem Obex and RLN,1/4/2021,"Obex Location, RLN Not Detected",,,,
A2WT,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,9/22/2020,17903R,R,,,,,,,,,,
A2WV,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Death,2/27/2021,,,2/27/2021,Pneumonia,10953B,Post-mortem Obex and RLN,2/27/2021,"Obex Location, RLN Not Detected",,,,
A2WW,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,3/23/2021,15660R,R,,,,,,,,,,
A2WX,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,15660R,R,,,,,,,,,,
A2WY,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Death,12/14/2018,,,12/14/2018,Natural Causes or Weather Related,10953B,Post-mortem Obex and RLN,2/28/2019,Obex and RLN Not Detected,,,,
A2X1,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,4/13/2019,4810R,R,,,,,,,,,,
A2X2,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,5/15/2019,3963R,R,,,,,,,,,,
A2X3,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,3/8/2019,13469R,R,,,,,,,,,,
A2X4,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,15660R,R,,,,,,,,,,
A2X5,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,15660R,R,,,,,,,,,,
A2X6,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,4/13/2019,4810R,R,,,,,,,,,,
A2X7,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,18841R,R,,,,,,,,,,
A2X8,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,4/13/2019,4810R,R,,,,,,,,,,
A2X9,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,3/14/2020,15020R,R,,,,,,,,,,
A2XA,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,18841R,R,,,,,,,,,,
A2XB,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,9/18/2020,15660R,R,,,,,,,,,,
A2XC,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Death,12/18/2019,,,12/18/2019,Natural Causes or Weather Related,10953B,Post-mortem Obex and RLN,12/30/2019,"Obex Location, RLN Not Detected",,,,
A2XF,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,3/8/2019,13469R,R,,,,,,,,,,
A2XG,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
A2XJ,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/9/2020,4992R,R,,,,,,,,,,
A2XK,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Death,3/30/2022,,,3/30/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/30/2022,"Obex Location, RLN Not Detected",,,,
A2XL,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Death,11/26/2020,,,11/26/2020,Pneumonia,10953B,Post-mortem Obex and RLN,12/1/2020,"Obex Location, RLN Not Detected",,,,
A2XM,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,3/30/2018,1689B,B,9/14/2024,Accidental Death or Injury,17761B,Post-mortem Obex,9/15/2024,"Obex Only, Not Detected",Ante-mortem Rectal,8/2/2024,17761B,Not detected
A2XN,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/9/2020,4992R,R,,,,,,,,,,
A2XP,White-Tailed Deer,F,6/12/2018,Birth,6/12/2018,,Transferred,3/14/2019,2700B,B,,,,,,,Ante-mortem Rectal,2/9/2023,17441B,Not detected
A2XQ,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/3/2020,17923B,B,12/13/2020,Unknown Cause,17923B,Post-mortem Obex and RLN,12/14/2020,Obex and RLN Not Detected,,,,
A4B3,White-Tailed Deer,F,6/17/2017,Transferred,3/1/2018,13788B,Death,11/13/2018,,,11/13/2018,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,2/28/2019,Obex and RLN Not Detected,,,,
A4KF,White-Tailed Deer,M,5/30/2018,Transferred,10/8/2019,13788B,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
A4KM,White-Tailed Deer,F,5/30/2018,Transferred,4/3/2019,13788B,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
A4RG,White-Tailed Deer,M,6/13/2018,Transferred,10/8/2019,13788B,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
A4TT,White-Tailed Deer,F,6/18/2018,Transferred,4/3/2019,13788B,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
A7G9,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,4/9/2020,17923B,B,,,,,,,,,,
A7GA,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
A7GB,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,4/28/2021,16524B,B,7/18/2022,EHD - Blue Tongue Disease,16524B,Post-mortem Obex and RLN,7/18/2022,Obex and RLN Not Detected,,,,
A7GC,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Death,11/14/2018,,,11/14/2018,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,2/28/2019,Obex and RLN Not Detected,,,,
A7GG,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,2/19/2020,15660R,R,,,,,,,,,,
A7GH,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,9/18/2020,15660R,R,,,,,,,,,,
A7GJ,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/3/2022,20349R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
A7GK,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,2/7/2020,14583B,B,3/3/2022,Capture or Transport Related Death,19879B,Post-mortem Obex and RLN,3/3/2022,Obex and RLN Not Detected,,,,
A7GL,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Death,12/24/2019,,,12/24/2019,Natural Causes or Weather Related,10953B,Post-mortem Obex and RLN,12/30/2019,"Obex Location, RLN Not Detected",,,,
A7GM,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
A7GN,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
A7GP,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,4/7/2022,4992R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
A7GQ,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,3/23/2021,15660R,R,,,,,,,,,,
A7GR,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,12/7/2020,16250D,D,,,,,,,,,,
A7GT,White-Tailed Deer,M,7/10/2017,Birth,7/10/2017,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
A7GV,White-Tailed Deer,F,7/10/2017,Birth,7/10/2017,,Transferred,4/13/2019,4810R,R,,,,,,,,,,
A7GW,White-Tailed Deer,F,6/20/2018,Birth,6/20/2018,,Transferred,1/28/2019,1682B,B,9/11/2023,Culled for CWD Testing,2794B,Post-mortem Obex and RLN,9/11/2023,Obex and RLN Not Detected,,,,
A7GX,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,4/28/2021,16524B,B,,,,,,,,,,
A7GY,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,3/23/2021,15660R,R,,,,,,,,,,
A7H0,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,4992R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
A7H2,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,20487R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
A7H3,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
A7H4,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,4/2/2022,2577B,B,12/21/2023,Accidental Death or Injury,2577B,Post-mortem Obex and RLN,12/21/2023,Obex and RLN Not Detected,Ante-mortem Rectal,10/17/2023,2577B,Not detected
ANG3,White-Tailed Deer,F,6/14/2017,Transferred,3/17/2022,16086B,Death,9/14/2023,,,9/14/2023,Pneumonia,10953B,Post-mortem Obex and RLN,9/14/2023,Obex and RLN Not Detected,,,,
AQ04,White-Tailed Deer,F,6/7/2017,Transferred,11/7/2019,13662B,Transferred,3/24/2020,13662B,B,6/29/2023,Culled for CWD Testing,1427B,Post-mortem Obex and RLN,6/29/2023,Obex and RLN Not Detected,Ante-mortem Rectal,6/29/2023,1427B,Not detected
AR52,White-Tailed Deer,F,5/28/2019,Transferred,2/11/2020,3496B,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
B81A,White-Tailed Deer,F,6/23/2019,Transferred,2/7/2020,14583B,Death,12/4/2020,,,12/4/2020,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,12/7/2020,Obex and RLN Not Detected,,,,
BJAA,White-Tailed Deer,F,6/1/2019,Transferred,3/6/2020,1689B,Transferred,3/26/2022,15020R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
BL6F,White-Tailed Deer,F,6/7/2008,Transferred,4/10/2015,1427B,Death,1/12/2018,,,1/12/2018,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/12/2018,Obex and RLN Not Detected,Ante-mortem Rectal,7/21/2017,10953B,Not detected
BLG5,White-Tailed Deer,F,6/22/2007,Transferred,4/10/2015,1427B,Transferred,2/19/2020,15660R,R,,,,,,,Ante-mortem Rectal,7/26/2016,10953B,Not detected
C71C,White-Tailed Deer,F,6/20/2011,Transferred,3/18/2015,9134B,Transferred,5/20/2016,12693R,R,,,,,,,,,,
C71F,White-Tailed Deer,F,6/20/2011,Transferred,3/18/2015,9134B,Death,9/9/2015,,,9/9/2015,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,9/9/2015,Obex and RLN Not Detected,,,,
C71L,White-Tailed Deer,F,6/20/2011,Transferred,3/18/2015,9134B,Transferred,5/20/2016,12693R,R,,,,,,,,,,
CFA9,White-Tailed Deer,F,6/19/2018,Transferred,3/27/2020,170B,Death,4/6/2021,,,4/6/2021,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,4/6/2021,Obex and RLN Not Detected,,,,
CKWA,White-Tailed Deer,F,6/13/2018,Transferred,10/8/2019,12014B,Death,11/22/2019,,,11/22/2019,EHD - Blue Tongue Disease,10953B,Post-mortem Obex and RLN,11/30/2019,Obex and RLN Not Detected,,,,
FAA7,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,3/8/2021,1020B,B,11/7/2023,Killed by Hunter,13476R,Post-mortem Obex and RLN,11/7/2023,Obex and RLN Not Detected,Ante-mortem Rectal,11/1/2022,1020B,Not detected
FAA9,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,5/15/2023,20487R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
FAAA,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,11/2/2020,14583B,B,3/13/2021,Accidental Death or Injury,19879B,Post-mortem Obex and RLN,3/13/2021,Obex and RLN Not Detected,,,,
FAAB,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
FAAG,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,3/23/2021,15660R,R,,,,,,,,,,
FAAH,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
FAAK,White-Tailed Deer,F,6/16/2019,Transferred,8/19/2021,14583B,Death,7/24/2023,,,7/24/2023,Culled for CWD Testing,10953B,Post-mortem Obex and RLN,7/24/2023,Obex and RLN Not Detected,Ante-mortem Rectal,12/1/2021,10953B,Not detected
FAAK,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,2/7/2020,14583B,B,7/24/2023,Culled for CWD Testing,10953B,Post-mortem Obex and RLN,7/24/2023,Obex and RLN Not Detected,Ante-mortem Rectal,12/1/2021,10953B,Not detected
FAAL,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,2/17/2024,12089R,R,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
FAAM,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,5/7/2021,20072R,R,,,,,,,,,,
FAAN,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
FAAQ,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,3/26/2022,15020R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
FAAT,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
FAAV,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,3/26/2022,15020R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
FAAW,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,4/17/2021,5070B,B,,,,,,,Ante-mortem Rectal,10/8/2022,5070B,Not detected
FAAX,White-Tailed Deer,F,6/11/2019,Birth,6/11/2019,,Transferred,3/31/2020,1689B,B,,,,,,,Ante-mortem Rectal,1/16/2023,18661B,Not detected
FAAY,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,11/7/2020,19242D,D,,,,,,,,,,
FAB0,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/20/2022,15020R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
FAB1,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Death,1/24/2023,,,1/24/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/24/2023,Obex and RLN Not Detected,,,,
FAB2,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,20487R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
FAB3,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,3/14/2020,15020R,R,,,,,,,,,,
FAB4,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Death,9/19/2023,,,9/19/2023,EHD - Blue Tongue Disease,10953B,Post-mortem Obex and RLN,9/19/2023,Obex and RLN Not Detected,,,,
FAB5,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Death,8/16/2019,,,8/16/2019,Pneumonia,10953B,Post-mortem Obex and RLN,8/16/2019,Obex and RLN Not Detected,,,,
FAB6,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,3/30/2022,17903R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
FAB7,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,4/28/2021,16524B,B,,,,,,,Ante-mortem Rectal,1/31/2022,16524B,Not detected
FAB8,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,3/23/2021,15660R,R,,,,,,,,,,
FAB9,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,3/28/2022,20487R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
FABA,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,4/7/2022,4992R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
FABB,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,11/7/2020,19242D,D,,,,,,,,,,
FABC,White-Tailed Deer,F,6/16/2019,Birth,6/16/2019,,Transferred,11/7/2020,19242D,D,,,,,,,,,,
FABF,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
FABG,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
FABH,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/3/2022,20349R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
FABJ,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,3/23/2021,15660R,R,,,,,,,,,,
FABK,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,3/26/2022,15020R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
FABL,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,3/28/2022,20487R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
FABM,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/18/2020,15660R,R,,,,,,,,,,
FABN,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
FABP,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
FABQ,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Death,3/25/2022,,,3/25/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/25/2022,Obex and RLN Not Detected,,,,
FABR,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Death,2/25/2021,,,2/25/2021,Pneumonia,10953B,Post-mortem Obex and RLN,2/25/2021,Obex and RLN Not Detected,,,,
FABT,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,11/7/2020,19242D,D,,,,,,,,,,
FABV,White-Tailed Deer,F,6/12/2018,Birth,6/12/2018,,Transferred,3/14/2019,1689B,B,,,,,,,Ante-mortem Rectal,8/19/2023,18661B,Not detected
FABW,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/19/2022,10651B,B,,,,,,,Ante-mortem Rectal,3/27/2024,10651B,Not detected
FABX,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/3/2022,20349R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
FABY,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Death,3/25/2022,,,3/25/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/25/2022,Obex and RLN Not Detected,,,,
FAC0,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,8/31/2021,20487R,R,,,,,,,Ante-mortem Rectal,7/1/2021,10953B,Not detected
FAC1,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,3/23/2021,15660R,R,,,,,,,,,,
FAC2,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Death,2/27/2021,,,2/27/2021,Pneumonia,10953B,Post-mortem Obex and RLN,2/27/2021,Obex and RLN Not Detected,,,,
FAC3,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,4/28/2021,16524B,B,1/27/2024,Killed by Hunter,2280R,,,,Ante-mortem Rectal,1/31/2022,16524B,Not detected
FAC4,White-Tailed Deer,F,6/15/2018,Birth,6/15/2018,,Transferred,4/2/2019,3496B,B,,,,,,,Ante-mortem Rectal,11/26/2022,3496B,Not detected
FAC6,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,3/30/2020,12014B,B,,,,,,,Ante-mortem Rectal,10/5/2023,12014B,Not detected
FAC7,White-Tailed Deer,F,6/14/2018,Birth,6/14/2018,,Transferred,4/8/2022,20072R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
FAC8,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,3/20/2021,1682B,B,9/11/2023,Culled for CWD Testing,1682B,Post-mortem Obex and RLN,9/11/2023,Obex and RLN Not Detected,Ante-mortem Rectal,7/7/2022,1682B,Not detected
FAC9,White-Tailed Deer,M,6/14/2018,Birth,6/14/2018,,Transferred,3/23/2021,15660R,R,,,,,,,,,,
FACA,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Transferred,9/9/2022,20487R,R,,,,,,,Ante-mortem Rectal,3/2/2022,10953B,Not detected
FACB,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,Death,10/9/2023,,,10/9/2023,Poison/Digestion/Rumen Problems,10953B,Post-mortem Obex and RLN,10/9/2023,Obex and RLN Not Detected,,,,
FACF,White-Tailed Deer,M,6/16/2019,Birth,6/16/2019,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
FT3M,White-Tailed Deer,F,5/1/2010,Transferred,4/10/2015,1427B,Transferred,3/28/2022,20487R,R,,,,,,,Ante-mortem Rectal,12/1/2021,10953B,Not detected
FVMJ,White-Tailed Deer,F,6/10/2010,Transferred,10/27/2020,12014B,Death,7/24/2024,,,7/24/2024,Giving Birth,10953B,Post-mortem Obex and RLN,7/24/2024,Obex and RLN Not Detected,Ante-mortem Rectal,9/27/2023,10953B,Not detected
G9C6,White-Tailed Deer,F,6/8/2011,Transferred,4/10/2015,1427B,Death,6/16/2022,,,6/16/2022,Giving Birth,10953B,Post-mortem Obex and RLN,6/16/2022,Obex and RLN Not Detected,Ante-mortem Rectal,7/26/2016,10953B,Not detected
G9F2,White-Tailed Deer,F,6/8/2011,Transferred,3/18/2015,9134B,Transferred,4/13/2019,4810R,R,,,,,,,Ante-mortem Rectal,7/26/2016,10953B,Not detected
G9F6,White-Tailed Deer,F,6/8/2011,Transferred,4/10/2015,1427B,Transferred,3/26/2018,5070B,B,7/19/2018,Pneumonia,5070B,Post-mortem Obex and RLN,7/19/2018,Obex and RLN Not Detected,Ante-mortem Rectal,7/6/2017,10953B,Not detected
G9G0,White-Tailed Deer,F,6/10/2010,Transferred,4/10/2015,1427B,Transferred,4/13/2019,4810R,R,,,,,,,Ante-mortem Rectal,7/26/2016,10953B,Not detected
G9G8,White-Tailed Deer,M,6/12/2010,Transferred,4/10/2015,1427B,Transferred,8/29/2017,4992R,R,,,,,,,Ante-mortem Rectal,6/9/2017,10953B,Not detected
GAHH,White-Tailed Deer,F,5/30/2018,Transferred,11/14/2019,2271B,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
