UNIQUE_NUMBER,SPECIES,DEER_SEX,ESTIMATED_BIRTH_DATE,HOW_ADDED,ADDED_DATE,SOURCE_FACILITY,HOW_REMOVED,REMOVED_DATE,DESTINATION_FID,DESTINATION_TYPE,REPORTED_DEATH_DATE,CAUSE_OF_DEATH,FACILITY_WHERE_DEAD,POSTMORT_TEST_RESULT,POSTMORT_SMPL_CLLCTN_DATE,POSTMORT_TISSUE_TYPE,ANTEMORT_TEST_RESULT,ANTEMORT_SMPL_CLLCTN_DATE,ANTEMORT_FCLTY_WHERE_TESTED,ANTEMORT_TISSUE_TYPE
0495X,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,1/27/2024,,,1/27/2024,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/29/2024,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
0495Y,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
04960,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
04961,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
04962,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,10/9/2023,,,10/9/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,10/9/2023,Obex and RLN Not Detected,,,,
04963,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/13/2024,24571R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
04964,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/23/2024,20349R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
04965,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
04966,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/31/2024,24571R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
04967,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/16/2024,20487R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
04968,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
04969,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,10/26/2022,17400B,B,12/19/2023,Culled for CWD Testing,17400B,Post-mortem Obex and RLN,12/19/2023,Obex and RLN Not Detected,,,,
0496B,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/24/2023,20072R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
0496C,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/15/2023,23009R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
0496F,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/15/2023,15020R,R,,,,,,,Ante-mortem Rectal,3/9/2023,10953B,Not detected
0496G,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Death,11/26/2022,,,11/26/2022,Pneumonia,10953B,Post-mortem Obex and RLN,11/30/2022,Obex and RLN Not Detected,,,,
0496H,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,3/27/2023,21390R,R,,,,,,,Ante-mortem Rectal,2/3/2023,10953B,Not detected
0496J,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
0496K,White-Tailed Deer,F,6/28/2023,Birth,6/28/2023,,,,,,,,,,,,,,,
